year,total_violent_crimes,wins
1985,279286.0,15.0
1986,294362.0,14.0
1987,277198.0,11.0
1988,294170.0,12.0
1989,300134.0,6.0
1990,310606.0,11.0
1991,320332.0,11.0
1992,296071.0,5.0
1993,284902.0,7.0
1994,281870.0,9.0
1995,269279.0,9.0
1996,260364.0,7.0
1997,257957.0,4.0
1998,250591.0,4.0
1999,228796.0,6.0
2000,211764.0,5.0
2001,196792.0,13.0
2002,192221.0,4.0
2003,183253.0,7.0
2004,176490.0,5.0
2005,166220.0,11.0
2006,164206.0,15.0
2007,160290.0,7.0
2008,165885.0,9.0
2009,153079.0,7.0
2010,148447.0,12.0
2011,145053.0,8.0
2012,138714.0,10.0
2013,123595.0,8.0
2014,109945.0,5.0
2015,105739.0,6.0
2016,117916.0,3.0
2017,118575.0,5.0
2018,114667.0,12.0
2019,106983.0,8.0
2020,86749.0,8.0
2021,38243.0,6.0
2022,97563.0,3.0
2023,106379.0,7.0
2024,106333.0,5.0
2025,89382.0,12.0
